id_hogar,ingreso_mensual_hogar,estrato_socioeconomico,recibe_subsidio,numero_integrantes_hogar,numero_menores_hogar,adulto_mayor_hogar,persona_con_discapacidad_hogar,acceso_internet_estable,acceso_servicios_basicos_completo,riesgo_habitacional,tiempo_desplazamiento_cabecera_min,distancia_centro_salud_min,inasistencia_escolar_hogar,nivel_educativo_jefe_hogar,barrio
H00028,1338745,2,1,5,5,0,0,1,0,4,33,4,0,2,Villa Diana
H00029,1028315,2,1,3,1,1,0,1,1,2,47,27,0,1,El Carmen
H00030,2291701,1,1,5,3,0,0,1,0,4,25,25,1,4,Bellavista
H00031,1997114,3,0,7,2,0,0,1,1,5,42,12,0,4,La Victoria
H00032,1246069,2,1,4,1,0,0,1,1,1,68,32,0,3,Las Acacias
H00033,1124693,1,1,2,2,0,0,0,1,2,64,20,0,2,Las Flores
H00034,1191279,2,1,8,5,0,0,1,0,3,33,32,0,3,Las Acacias
H00035,1229141,2,0,5,1,0,0,0,1,5,74,41,0,3,Bellavista
H00036,1413019,1,1,3,1,0,0,0,1,4,70,57,0,2,El Carmen
H00037,1444522,2,0,6,2,0,0,1,0,1,23,35,0,4,Los Pinos
H00038,1423907,3,0,7,2,0,0,1,1,3,31,23,0,1,El Progreso
H00039,1832402,1,1,5,1,1,0,0,1,4,45,7,0,2,Villa Diana
H00040,1739849,1,1,3,3,0,0,1,1,4,55,33,1,1,El Porvenir
H00041,1416812,2,1,3,3,0,0,0,0,3,39,34,1,2,El Progreso
H00042,3667960,4,0,4,0,0,0,1,1,2,31,15,0,3,San Carlos
H00043,1358963,1,0,4,2,1,0,1,1,3,48,26,0,2,El Bosque
H00044,3292158,3,0,3,1,0,0,0,1,2,38,21,0,4,Centro
H00045,2420878,2,0,3,2,0,1,1,1,2,32,24,0,3,La Esperanza
H00046,3290117,4,1,2,0,0,0,1,1,2,17,15,0,4,Las Acacias
H00047,1544807,2,1,3,0,0,0,1,0,1,21,13,0,3,Bellavista
H00048,2189825,2,1,4,3,0,1,1,1,1,21,20,0,3,El Carmen
H00049,1100748,1,1,5,0,0,0,1,1,3,32,8,0,1,El Carmen
H00050,986872,2,1,4,3,0,0,0,1,5,52,50,1,1,Buenos Aires
H00051,1233000,2,0,2,3,0,0,1,0,3,61,43,1,3,La Primavera
H00052,1122265,1,0,4,2,1,0,1,1,3,29,9,0,3,Manablanca
H00053,1177841,2,1,5,2,0,0,1,0,5,43,10,0,1,El Progreso
H00054,1513577,1,0,5,3,0,0,0,1,5,44,19,0,1,Las Acacias
H00055,2428118,3,1,6,1,1,0,1,0,4,67,30,1,1,Las Acacias
H00056,1951203,3,0,7,4,1,0,0,1,4,35,50,0,3,La Unión
H00057,1685806,2,0,8,2,1,0,1,1,3,31,33,0,1,La Victoria
H00058,3010451,3,0,3,1,0,0,1,1,1,45,4,0,3,San Carlos
H00059,956167,2,1,4,2,0,0,1,1,4,17,27,0,4,El Progreso
H00060,1711615,2,1,5,0,0,0,0,1,3,79,28,0,4,La Aurora
H00061,2187784,3,1,4,2,0,0,0,1,5,18,15,1,3,Nueva Colombia
H00062,2011259,2,0,6,3,1,1,0,1,3,31,45,0,2,San Carlos
H00063,3071193,3,0,3,1,0,0,0,1,1,15,15,0,3,San Luis
H00064,1554303,1,1,6,3,0,0,1,1,4,38,32,1,2,Bellavista
H00065,1092097,1,1,8,1,0,0,1,1,4,58,110,0,3,Nueva Colombia
H00066,1285274,2,1,7,1,0,0,0,1,4,69,49,0,1,San Luis
H00067,1539851,2,1,3,0,0,0,0,1,4,70,31,0,2,Altos del Sol
H00068,2643643,3,0,2,1,0,0,1,1,2,19,22,0,3,El Porvenir
H00069,1259917,2,0,3,3,0,0,0,1,5,28,42,0,1,Santa Ana
H00070,1115139,1,0,5,2,1,0,0,1,4,66,41,0,1,El Progreso
H00071,1006341,1,1,5,2,1,0,0,1,3,31,37,1,3,Altos del Sol
H00072,2970389,3,0,4,1,0,0,1,1,2,37,14,1,4,El Porvenir
H00073,1071524,1,1,4,2,1,0,0,0,5,51,6,0,2,Manablanca
H00074,1671145,3,0,7,2,0,0,1,1,4,34,42,0,3,Villa Sofía
H00075,1150979,1,0,5,3,0,1,1,0,4,24,30,0,2,Las Flores
H00076,1181430,1,1,5,3,0,0,0,1,4,76,69,0,2,La Aurora
H00077,923470,1,0,5,2,0,1,1,0,5,36,28,0,2,La Esperanza
H00078,1955323,2,1,4,1,1,0,0,0,3,73,25,0,3,La Aurora
H00079,4182568,2,0,3,1,0,0,1,1,1,23,26,0,4,San Jorge
H00080,760782,1,0,7,0,1,0,0,0,5,20,66,0,1,Las Acacias
H00081,563182,1,1,3,1,0,0,1,0,4,54,17,0,2,La Primavera
H00082,1167199,3,1,8,3,0,0,0,1,5,37,4,1,3,Villa Diana
H00083,933966,1,0,4,1,0,0,0,1,3,60,28,0,1,La Aurora
H00084,1168456,2,1,5,2,0,0,0,0,2,73,29,0,1,Nueva Colombia
H00085,1166531,1,1,6,2,0,0,1,1,3,32,31,0,3,San Jorge
H00086,1617747,1,0,4,2,0,0,1,1,4,45,33,0,2,San Jorge
H00087,3037579,4,0,4,1,0,0,1,0,3,35,10,0,4,San Luis
H00088,2230192,3,0,1,1,0,0,1,1,3,28,12,0,3,Centro
H00089,3694812,3,0,3,0,0,0,1,1,2,14,10,0,2,El Carmen
H00090,1765447,2,1,3,1,0,0,0,0,4,68,21,0,1,Nueva Colombia
H00091,1056567,1,1,5,2,1,1,1,0,4,52,61,0,1,Villa Sofía
H00092,1963223,3,1,7,4,0,0,0,1,3,35,21,0,4,Centro
H00093,2538671,2,0,3,0,0,0,1,1,2,25,3,1,2,Centro
H00094,896412,2,1,4,1,0,1,0,0,4,117,86,0,2,La Aurora
H00095,3135989,3,0,2,1,0,0,0,1,1,20,18,0,4,La Esperanza
H00096,1610668,1,0,6,0,0,0,1,0,3,73,56,0,2,San Luis
H00097,1309770,1,1,6,2,1,0,0,1,4,49,38,1,4,Buenos Aires
H00098,2944866,2,0,3,0,0,0,1,1,2,18,22,1,3,Villa Diana
H00099,1284142,2,1,5,2,0,0,0,0,4,73,48,0,4,Villa Sofía
H00100,2887204,2,0,4,0,0,0,1,1,1,48,9,0,3,Los Pinos
H00101,1765913,3,0,4,1,0,0,1,1,1,43,21,0,2,Santa Ana
H00102,450000,2,0,3,2,1,1,1,1,2,37,62,0,4,La Primavera
H00103,999017,3,1,3,1,0,0,0,1,3,18,42,1,1,El Progreso
H00104,1629223,3,0,6,2,0,0,0,1,4,42,4,0,3,El Porvenir
H00105,1779171,2,0,6,4,0,0,1,1,4,41,4,0,2,Santa Ana
H00106,3194883,4,0,4,0,0,0,1,1,2,28,29,0,3,Buenos Aires
H00107,1858243,1,0,7,5,0,0,1,1,1,42,34,0,2,Los Pinos
H00108,2369797,4,0,3,0,0,0,1,1,3,18,24,0,3,El Porvenir
H00109,1563320,3,0,3,2,0,0,0,1,2,23,3,0,3,El Progreso
H00110,1489506,3,0,4,3,0,0,1,0,4,69,40,0,3,Las Flores
H00111,601048,1,0,4,2,0,0,0,0,3,29,34,0,3,Altos del Sol
H00112,2475414,1,0,5,2,1,0,1,1,1,18,33,1,3,Villa Sofía
H00113,1088461,3,1,6,2,1,0,0,0,2,15,28,1,3,San Carlos
H00114,1002647,2,1,3,2,1,0,0,1,2,53,31,1,3,El Progreso
H00115,2427053,3,1,7,3,0,0,1,1,4,40,4,0,4,San Carlos
H00116,1610449,2,1,5,2,1,0,0,1,4,48,20,0,1,Centro
H00117,2481101,2,1,4,2,0,0,1,1,2,25,7,1,2,San Luis
H00118,1828527,2,1,5,1,0,0,0,0,4,138,71,0,2,La Primavera
H00119,1610523,3,1,7,2,0,0,1,1,4,23,22,1,1,La Aurora
H00120,2018798,3,0,7,4,1,0,0,1,3,37,31,0,3,Las Acacias
H00121,960834,2,0,2,1,0,0,0,1,2,37,37,0,2,La Victoria
H00122,3653300,4,0,4,1,0,0,1,1,1,36,22,1,4,San Carlos
H00123,1519408,2,1,3,0,0,0,0,0,4,71,63,1,2,El Carmen
H00124,1955343,2,1,3,1,0,0,1,1,3,59,47,0,4,El Bosque
H00125,1760972,1,1,2,0,1,0,0,1,3,56,32,0,3,El Carmen
H00126,1976216,2,0,3,1,0,0,1,1,2,35,6,1,4,Los Pinos
H00127,1989072,1,1,4,0,0,0,1,1,1,53,49,0,3,La Primavera
H00128,2409491,1,1,7,4,1,0,1,1,3,5,32,0,2,El Progreso
H00129,895246,1,1,5,4,0,0,0,1,5,128,90,1,3,Buenos Aires
H00130,3384036,2,1,1,1,1,0,0,0,2,44,22,0,4,La Primavera
H00131,3665948,4,1,4,1,0,0,1,1,2,65,10,0,3,El Progreso
H00132,1297445,3,1,5,2,0,0,1,1,2,19,67,0,4,Altos del Sol
H00133,3562086,3,0,3,0,0,0,1,1,3,22,9,0,5,San Carlos
H00134,2370847,2,0,2,2,0,0,1,1,5,77,54,0,2,Las Acacias
H00135,755130,2,0,4,2,0,0,0,1,4,61,87,0,2,Altos del Sol
H00136,1873211,2,1,4,2,1,0,0,1,3,77,95,0,2,La Primavera
H00137,1032530,2,1,4,2,0,0,0,0,3,53,33,0,2,San Luis
H00138,2803422,2,0,3,0,0,0,1,1,2,9,21,0,3,Villa Diana
H00139,2059933,2,0,6,1,0,0,0,1,3,54,24,0,2,La Primavera
H00140,1857202,3,1,3,1,0,0,1,1,1,29,16,0,2,San Jorge
H00141,1333285,2,1,4,1,1,0,1,1,2,35,23,0,2,Santa Ana
H00142,2843114,2,0,2,1,1,0,1,1,2,7,24,0,4,La Esperanza
H00143,2381852,3,1,2,0,0,0,0,0,3,11,9,0,4,San Carlos
H00144,1553586,1,0,3,1,1,0,0,1,2,19,9,0,3,El Bosque
H00145,2775067,3,0,2,1,0,0,1,1,2,20,21,0,5,Centro
H00146,1830208,2,1,2,1,1,0,1,0,3,75,10,0,1,Nueva Colombia
H00147,837688,2,1,6,3,1,0,0,1,4,55,65,0,2,Villa Diana
H00148,1099916,2,0,5,2,0,0,1,1,4,32,19,0,3,San Carlos
H00149,731630,1,0,8,2,0,0,0,0,3,35,41,0,2,Centro
H00150,1267969,3,1,5,1,1,0,1,1,3,64,43,1,2,El Bosque
H00151,2306497,4,0,5,2,1,0,0,1,2,27,21,0,3,Villa Diana
H00152,3144823,3,1,3,1,0,0,1,1,2,42,41,0,3,El Porvenir
H00153,1887732,2,1,5,1,0,0,1,1,3,43,57,1,2,El Carmen
H00154,1076132,1,0,6,3,0,0,0,0,5,91,49,0,2,La Aurora
H00155,2200000,3,1,4,1,0,0,1,1,4,63,44,1,2,Altos del Sol
H00156,1742649,1,1,6,3,0,0,0,1,2,8,34,1,3,Altos del Sol
H00157,3770120,3,1,2,1,0,1,1,1,2,29,20,0,4,La Esperanza
H00158,1374623,2,1,3,3,1,1,1,0,4,29,28,0,3,Nueva Colombia
H00159,1506841,1,1,4,0,1,0,0,1,2,29,41,0,2,Las Flores
H00160,2496054,2,0,4,1,0,0,1,1,1,32,31,1,5,Centro
H00161,1337411,2,1,3,0,0,0,1,1,4,35,27,0,2,El Porvenir
H00162,998056,1,0,5,3,1,0,0,1,5,50,26,0,2,San Luis
H00163,1630919,2,1,3,1,1,0,0,1,1,60,66,0,1,San Jorge
H00164,1653860,2,0,7,4,0,0,1,1,4,44,4,1,3,Buenos Aires
H00165,3062741,4,0,2,2,1,0,1,1,2,25,33,0,5,Bellavista
H00166,2437604,3,1,4,1,1,0,1,1,1,31,10,0,2,La Unión
H00167,3130827,2,0,6,1,0,0,1,1,3,22,27,1,3,El Porvenir
H00168,1914633,2,1,3,1,1,0,1,1,1,22,34,0,4,El Carmen
H00169,2109711,3,0,4,1,0,0,1,1,2,30,17,0,4,La Primavera
H00170,1728839,3,0,8,3,0,0,1,0,3,29,40,1,2,Las Acacias
H00171,1639827,2,1,3,2,1,0,1,0,4,87,49,0,1,Buenos Aires
H00172,1207647,2,1,7,2,0,0,0,0,3,46,6,1,2,La Aurora
H00173,702151,1,0,6,1,0,1,1,1,5,71,22,1,3,San Luis
H00174,2100995,2,0,4,1,1,0,1,1,3,30,17,1,3,San Luis
H00175,3645471,3,0,2,1,1,0,1,1,3,37,11,1,3,Villa Diana
H00176,1986683,3,0,7,2,0,0,0,0,5,30,29,1,2,Villa Sofía
H00177,1366187,3,1,5,1,1,0,1,1,2,26,16,0,3,Altos del Sol
H00178,1683122,2,1,3,1,0,0,0,1,4,48,56,1,4,Manablanca
H00179,2841780,2,0,3,1,0,0,1,0,2,12,3,0,4,Las Acacias
H00180,825880,3,1,4,2,0,0,1,0,5,53,17,1,3,El Bosque
H00181,2127754,2,0,7,3,0,1,1,0,3,37,27,0,2,San Jorge
H00182,1018616,1,1,3,3,0,0,1,0,4,43,7,0,3,Las Flores
H00183,1557939,2,1,4,2,0,0,1,1,5,48,42,1,4,Villa Sofía
H00184,2016468,3,0,3,0,0,0,1,1,3,34,23,1,4,Bellavista
H00185,1414398,2,0,3,2,0,0,1,1,5,56,47,0,2,Las Flores
H00186,2563799,2,0,4,3,0,1,1,1,1,30,18,0,5,Villa Diana
H00187,1852330,1,0,8,3,0,0,1,1,3,19,4,0,3,San Luis
H00188,906210,1,1,5,1,1,0,0,1,2,17,27,0,3,San Carlos
H00189,1975053,3,1,3,4,0,0,0,1,5,57,80,0,1,Nueva Colombia
H00190,1181511,1,1,6,3,0,0,1,1,3,55,24,0,1,El Carmen
H00191,782795,2,1,4,1,0,1,0,1,3,44,33,0,2,Nueva Colombia
H00192,1319207,3,1,2,2,0,0,1,1,2,47,19,1,4,San Carlos
H00193,2076322,3,0,4,0,1,0,1,1,3,35,23,0,5,La Unión
H00194,1614923,2,0,4,1,0,0,0,0,1,17,14,0,3,El Porvenir
H00195,2395681,1,0,4,2,0,0,0,1,4,87,76,0,2,Villa Sofía
H00196,1909287,2,1,4,1,0,0,1,0,3,46,23,0,3,Centro
H00197,1038562,1,1,6,2,1,0,1,0,5,123,52,0,1,Nueva Colombia
H00198,3402043,4,1,5,0,0,0,1,1,1,14,20,0,3,La Unión
H00199,933124,1,1,3,0,1,0,0,1,3,137,41,0,1,El Bosque
H00200,1137550,3,1,4,3,0,0,1,1,4,25,18,0,2,La Esperanza
H00201,1275749,2,0,6,3,1,0,1,1,5,51,21,0,3,La Victoria
H00202,1224517,1,1,6,2,0,0,1,1,2,41,20,0,1,Villa Sofía
H00203,1587347,2,1,4,2,0,0,1,1,5,50,17,0,1,Los Pinos
H00204,2462200,2,0,3,1,0,0,1,1,1,27,44,0,2,La Esperanza
H00205,1366566,2,1,5,0,1,0,0,1,3,39,27,0,3,El Progreso
H00206,2090934,2,1,4,1,0,1,1,1,3,47,12,0,4,La Victoria
H00207,1605340,2,1,7,1,0,1,0,0,5,54,54,0,4,Buenos Aires
H00208,1013919,1,1,3,1,1,0,0,0,4,28,59,0,1,Buenos Aires
H00209,1635900,3,0,3,3,0,0,1,1,4,66,4,0,3,San Luis
H00210,1711543,2,0,6,2,0,0,1,1,1,7,18,0,2,La Victoria
H00211,1479543,2,1,5,1,1,0,0,1,4,39,32,0,4,Villa Sofía
H00212,1581907,1,0,3,2,0,0,0,1,3,99,67,1,2,Las Acacias
H00213,1318905,2,1,3,2,0,0,1,1,2,34,32,1,2,El Bosque
H00214,829501,2,1,6,3,1,0,1,1,3,38,35,1,1,Bellavista
H00215,1015894,2,1,4,1,0,0,1,0,2,53,27,0,3,Villa Sofía
H00216,1608252,3,0,5,2,1,0,0,1,3,33,21,0,2,La Esperanza
H00217,1616094,3,1,4,1,0,0,1,0,3,108,29,0,4,Manablanca
H00218,736882,2,0,8,1,0,0,1,0,4,100,45,1,3,Manablanca
H00219,3432433,3,0,3,0,0,0,0,1,2,35,24,0,3,La Victoria
H00220,2132353,3,0,6,3,0,0,1,1,2,32,10,0,5,San Jorge
H00221,815178,2,0,5,0,0,0,0,1,3,48,56,0,4,Altos del Sol
H00222,1326831,2,1,8,4,0,0,0,1,3,30,45,0,2,El Carmen
H00223,1027378,1,0,4,1,1,0,1,0,3,40,22,0,4,Altos del Sol
H00224,2089118,3,1,5,2,0,0,1,1,4,77,36,0,3,La Victoria
H00225,2966220,2,1,3,0,1,0,1,1,1,6,6,0,3,La Primavera
H00226,2498590,2,0,2,2,0,0,1,1,2,31,36,0,5,San Jorge
H00227,1817664,1,1,7,3,1,1,1,0,2,13,14,1,3,La Unión
H00228,916791,1,1,5,2,1,0,0,1,2,56,29,0,3,La Unión
H00229,1381432,2,0,5,1,0,0,0,1,3,64,39,1,2,La Aurora
H00230,2061821,1,1,6,1,1,0,1,1,5,78,64,0,3,El Carmen
H00231,2119991,2,0,4,0,1,0,1,0,5,74,85,0,3,Nueva Colombia
H00232,1995434,1,1,4,3,1,0,1,1,2,26,5,0,2,San Carlos
H00233,767229,1,1,3,0,0,0,0,1,3,137,50,0,2,Buenos Aires
H00234,1670375,2,0,6,4,0,0,1,1,3,45,32,0,1,Los Pinos
H00235,3537996,3,0,3,1,1,0,1,1,2,11,11,0,3,San Luis
H00236,2074640,2,1,4,4,1,0,1,1,2,31,20,0,3,Los Pinos
H00237,1174632,2,0,6,2,0,0,1,1,4,45,40,0,1,El Progreso
H00238,649582,1,0,3,3,0,0,1,1,5,47,40,0,1,Nueva Colombia
H00239,3340802,3,0,3,1,0,0,1,1,2,32,14,0,3,El Porvenir
H00240,1328289,1,1,7,2,0,0,0,0,3,46,14,1,3,La Aurora
H00241,1163118,2,0,5,3,0,0,1,1,4,21,23,0,3,Centro
H00242,1363771,1,0,5,4,0,0,1,0,5,8,49,0,1,Santa Ana
H00243,1466103,2,0,2,3,1,0,1,1,3,40,18,0,4,San Luis
H00244,525859,1,1,2,1,1,0,0,0,4,102,54,0,1,Altos del Sol
H00245,1808374,3,0,4,2,0,0,1,1,1,12,9,0,4,La Primavera
H00246,1308919,1,1,7,2,1,0,1,1,3,10,20,0,1,La Primavera
H00247,1227115,1,0,5,0,0,0,1,0,3,10,25,0,4,La Primavera
H00248,2736408,3,1,4,2,1,0,1,1,3,34,14,0,4,Buenos Aires
H00249,2957999,3,0,3,1,0,0,1,1,2,23,3,0,4,La Unión
H00250,2367764,3,0,3,0,0,0,1,1,3,29,27,0,4,La Esperanza
H00251,1611587,3,0,6,0,0,0,1,1,5,24,27,0,4,Los Pinos
H00252,1221633,1,0,8,2,1,1,1,1,3,50,31,0,3,El Progreso
H00253,2260963,3,1,5,1,1,0,1,1,2,20,7,0,3,San Jorge
H00254,1031571,1,1,4,3,0,0,1,1,3,38,16,1,2,El Bosque
H00255,1504194,2,0,7,3,1,0,1,1,3,30,6,0,2,El Carmen
H00256,3591380,3,1,5,2,0,0,1,1,1,25,23,0,4,La Unión
H00257,833719,1,0,4,3,1,0,0,0,5,51,103,0,1,El Carmen
H00258,895997,1,1,6,2,0,0,1,1,3,31,23,1,2,Altos del Sol
H00259,1316231,3,1,3,4,0,0,1,1,3,36,27,0,3,El Bosque
H00260,1773006,2,1,6,3,1,0,1,0,3,40,27,0,2,Villa Diana
H00261,1393485,2,1,4,2,0,0,1,1,3,61,36,0,3,El Bosque
H00262,1238491,1,1,8,4,0,0,1,1,5,46,37,0,4,San Jorge
H00263,2649852,2,0,4,0,0,0,1,1,1,3,10,0,3,Buenos Aires
H00264,2894814,2,0,2,1,0,0,0,1,1,19,21,0,2,La Unión
H00265,3096699,2,0,5,0,0,0,1,1,2,25,12,0,4,El Carmen
H00266,1396407,1,0,5,2,0,0,1,1,4,47,19,0,3,El Carmen
H00267,4181720,3,0,4,0,1,0,1,1,1,34,15,0,5,Santa Ana
H00268,1632058,2,1,5,2,0,0,1,1,3,57,40,0,3,San Jorge
H00269,1758357,3,0,3,0,0,0,1,1,1,28,18,0,3,Centro
H00270,2830211,2,0,2,2,0,0,0,0,2,38,19,1,4,El Progreso
H00271,1990838,3,1,5,1,1,0,0,1,5,49,52,0,2,Altos del Sol
H00272,1968370,2,1,4,3,0,0,0,0,5,30,53,0,1,Villa Sofía
H00273,2078949,3,1,4,4,0,0,1,0,2,5,18,1,1,Manablanca
H00274,2262440,1,0,5,2,0,0,1,0,2,28,7,0,3,Santa Ana
H00275,1866101,1,1,7,2,0,0,1,1,1,35,24,0,1,Centro
H00276,3733523,4,1,3,0,0,1,1,1,2,22,29,0,2,Buenos Aires
H00277,1132690,1,1,7,4,0,0,1,1,4,41,4,1,4,Las Acacias
H00278,1597364,2,0,4,2,0,0,0,1,5,67,36,0,2,Las Acacias
H00279,1750538,2,1,4,2,0,0,1,1,4,42,28,0,2,San Jorge
H00280,642607,2,1,4,2,1,0,0,1,5,94,63,0,2,San Luis
H00281,1399090,2,1,4,3,1,0,1,1,5,28,34,0,3,El Bosque
H00282,761075,2,0,6,2,1,0,1,1,2,97,50,1,1,Villa Sofía
H00283,3719129,3,0,4,1,0,0,1,1,3,17,21,0,3,San Jorge
H00284,1072130,2,1,2,1,0,0,0,1,3,12,27,0,2,Santa Ana
H00285,936431,2,1,4,2,0,1,0,1,4,29,32,0,3,La Aurora
H00286,1885496,1,0,6,3,1,0,1,1,2,17,35,1,4,La Unión
H00287,1851882,3,0,8,2,0,1,0,0,4,5,24,0,2,Centro
H00288,1381348,1,1,5,3,1,0,0,0,5,38,25,0,2,El Carmen
H00289,2236309,4,0,4,0,0,0,1,1,2,19,13,0,4,El Porvenir
H00290,1257463,2,1,4,2,1,0,1,1,2,42,30,0,2,La Unión
H00291,1190935,1,1,2,2,0,1,1,1,4,53,4,0,3,Nueva Colombia
H00292,1731885,2,0,5,2,1,0,1,1,3,49,24,0,2,Altos del Sol
H00293,2532251,3,0,6,3,0,0,1,1,1,27,25,0,4,La Esperanza
H00294,2917640,2,0,5,3,1,0,1,1,2,25,5,0,2,San Jorge
H00295,1234473,2,1,2,2,0,0,1,1,5,58,42,0,2,Nueva Colombia
H00296,1072060,2,1,6,0,0,0,1,1,2,28,19,0,3,San Luis
H00297,1352174,2,0,2,1,1,0,0,1,3,45,61,1,2,Manablanca
H00298,2932357,3,1,3,2,0,1,0,1,1,28,4,0,4,La Unión
H00299,1585006,2,0,3,0,1,0,1,1,1,24,13,0,4,San Carlos
H00300,597865,2,1,4,1,1,0,0,0,3,130,82,0,2,Manablanca
H00301,2266309,2,1,3,1,0,0,1,1,3,63,33,0,3,La Aurora
H00302,1373909,1,0,4,1,1,0,0,0,2,78,52,0,4,El Bosque
H00303,1632085,2,0,2,1,0,1,1,1,4,60,28,1,2,Centro
H00304,2869219,3,0,4,1,0,0,1,1,2,42,12,0,4,Santa Ana
H00305,2735236,3,0,3,2,1,0,1,1,1,35,10,1,4,Las Flores
H00306,1828661,1,1,5,4,0,0,1,1,3,5,20,1,3,La Unión
H00307,3460083,2,0,2,4,0,0,1,1,2,14,22,0,5,La Victoria
H00308,1262289,2,1,4,3,0,0,0,0,4,74,21,0,1,El Porvenir
H00309,847745,2,1,5,1,1,0,1,0,4,139,57,0,1,Villa Sofía
H00310,960308,1,1,3,0,0,0,1,0,3,24,22,0,2,Villa Sofía
H00311,2436208,2,1,2,2,0,0,1,1,3,3,13,0,3,Las Flores
H00312,2822231,3,0,2,3,0,0,1,1,2,34,32,0,5,Las Flores
H00313,2485849,4,0,2,0,0,0,1,1,2,29,31,0,3,Los Pinos
H00314,1367550,3,0,3,2,1,0,0,0,3,75,32,0,1,San Jorge
H00315,360245,1,0,6,3,1,1,0,1,5,57,96,1,3,El Bosque
H00316,2843548,2,0,4,1,0,0,1,1,2,20,30,1,5,Villa Diana
H00317,1421909,1,0,3,3,0,0,0,0,4,47,13,0,2,Bellavista
H00318,2240472,3,0,4,1,0,1,1,1,3,23,25,0,5,Los Pinos
H00319,1573242,2,1,2,1,0,0,0,1,4,36,33,0,1,Santa Ana
H00320,1519930,2,1,7,3,0,0,0,1,2,25,22,0,3,El Carmen
H00321,1229212,2,1,5,2,0,0,1,1,4,37,25,0,3,Villa Diana
H00322,1886227,2,0,6,2,0,1,1,1,4,66,41,0,1,El Porvenir
H00323,2313177,4,1,3,0,1,0,0,0,2,51,24,0,3,Buenos Aires
H00324,2829632,3,0,5,2,0,0,1,1,2,32,11,0,2,El Carmen
H00325,1552993,2,1,3,1,0,0,1,1,1,45,32,1,3,Las Acacias
H00326,1245756,2,0,1,2,0,0,1,1,2,36,41,0,3,El Progreso
H00327,1906910,2,0,7,3,1,0,0,1,3,29,9,0,2,Las Acacias
H00328,1526555,1,0,4,3,0,0,1,1,5,66,29,1,4,La Esperanza
H00329,1324306,2,0,4,3,0,0,0,0,3,33,28,0,3,El Porvenir
H00330,1505336,2,1,4,2,0,0,1,1,3,43,27,0,1,Centro
H00331,2200673,3,1,3,1,1,0,1,0,3,67,61,0,3,San Luis
H00332,744470,2,0,5,3,1,0,1,1,4,37,30,0,3,Manablanca
H00333,2186361,2,0,7,4,0,0,1,1,1,59,23,0,4,Manablanca
H00334,843423,2,1,6,2,0,0,1,1,5,91,84,0,1,Las Acacias
H00335,3400166,2,1,3,2,0,0,1,1,2,36,5,0,5,La Victoria
H00336,1435913,2,1,3,4,0,0,0,1,4,52,29,0,2,Manablanca
H00337,1163333,2,0,3,1,0,0,1,1,4,31,20,0,2,Los Pinos
